country|country_full_name|capital_city
Австрали|Австралийн Холбооны Улс|Канберра
Австри|Бүгд Найрамдах Австри Улс|Вена
Азербайжан|Бүгд Найрамдах Азербайжан Улс|Баку
Aлбани|Бүгд Найрамдах Aлбани Улс|Тирана
Алжир|Бүгд Найрамдах Ардчилсан Алжир Ард Улс|Алжир
Америк|Америкийн Нэгдсэн Улс|Вашингтон
Ангол|Бүгд Найрамдах Ангол Улс|Луанда
Андорра|Андоррын Хант Улс|Андорра-ла-Велья
Антигуа ба Барбуда|Антигуа ба Барбуда Улс|Сент-Жонс
Аргентин|Бүгд Найрамдах Аргентин Улс|Буэнос-Айрес
Армени|Бүгд Найрамдах Армени Улс|Ереван
Афганистан|Исламын Бүгд Найрамдах Афганистан Улс|Кабул
Балба|Холбооны Бүгд Найрамдах Ардчилсан Балба Улс|Катманду
Бангладеш|Бүгд Найрамдах Бангладеш Ард Улс|Дака
Барбадос|Барбадос Улс|Брижтаун
Бахам|Бахамын Хамтын Нөхөрлөлийн Улс|Нассау
Бахрейн|Бахрейны Хаант Улс|Манама
Беларусь|Бүгд Найрамдах Беларусь Улс|Минск
Белиз|Белиз Улс|Белмопан
Бельги|Бельгийн Хаант Улс|Брюссель
Бенин|Бүгд Найрамдах Бенин Улс|Порто-Ново
Болгар|Бүгд Найрамдах Болгар Улс|Софи
Боливи|Олон Үндэстний Боливи Улс|Сукре
Босни-Херцеговин|Босни-Херцеговин Улс|Сараево
Ботсвана|Бүгд Найрамдах Ботсвана Улс|Габороне
Бразил|Холбооны Бүгд Найрамдах Бразил Улс|Бразилиа
Британи|Их Британи, Умард Ирландын Нэгдсэн Хаант Улс|Лондон
Бруней|Бруней Даруссалам Улс|Бандар Сери Бегаван
Буркина Фасо|Буркина Фасо Улс|Уагадугу
Бурунди|Бүгд Найрамдах Бурунди Улс|Бужумбура
Бутан|Бутаны Хаант Улс|Тимпу
Вануату|Бүгд Найрамдах Вануату Улс|Порт-Вила
Ватикан|Ватикан Улс|Ватикан
Венесуэл|Боливарын Бүгд Найрамдах Венесуэл Улс|Каракас
Вьетнам|Бүгд Найрамдах Социалист Вьетнам Улс|Ханой
Габон|Бүгд Найрамдах Габон Улс|Либревиль
Гайана|Бүгд Найрамдах Гайана Улс|Жоржтаун
Гамби|Бүгд Найрамдах Гамби Улс|Банжул
Гана|Бүгд Найрамдах Гана Улс|Аккра
Гватемал|Бүгд Найрамдах Гватемал Улс|Гватемал
Гвиней|Бүгд Найрамдах Гвиней Улс|Конакри
Гвиней-Бисау|Бүгд Найрамдах Гвиней-Бисау Улс|Бисау
Герман|Холбооны Бүгд Найрамдах Герман Улс|Берлин
Грек|Бүгд Найрамдах Грек Улс|Афин
Гренада|Гренада Улс|Сент-Жоржес
Гүрж|Гүрж Улс|Тбилиси
Дани|Данийн Хаант Улс|Копенхаген
Доминик|Доминикийн Хамтын Нөхөрлөлийн Улс|Розо
Доминикан|Доминиканы Бүгд Найрамдах Улс|Сан-Доминго
Египет|Арабын Бүгд Найрамдах Египет Улс|Каир
Жибути|Бүгд Найрамдах Жибути Улс|Жибути
Замби|Бүгд Найрамдах Замби Улс|Лусака
Зимбабве|Бүгд Найрамдах Зимбабве Улс|Хараре
Зүүн Тимор|Бүгд Найрамдах Ардчилсан Зүүн Тимор Улс|Дили
Израил|Израил Улс|Йерусалим
Индонез|Бүгд Найрамдах Индонез Улс|Жакарта
Ирак|Бүгд Найрамдах Ирак Улс|Багдад
Иран|Исламын Бүгд Найрамдах Иран Улс|Техран
Ирланд|Ирланд Улс|Даблин
Исланд|Бүгд Найрамдах Исланд Улс|Рейкьявик
Испани|Испанийн Хаант Улс|Мадрид
Итали|Бүгд Найрамдах Итали Улс|Ром
