city_or_aimag, district_or_sum
Улаанбаатар хот, Багануур дүүрэг
Улаанбаатар хот, Багахангай дүүрэг
Улаанбаатар хот, Баянгол дүүрэг
Улаанбаатар хот, Баянзүрх дүүрэг
Улаанбаатар хот, Налайх дүүрэг
Улаанбаатар хот, Сонгинохайрхан дүүрэг
Улаанбаатар хот, Сүхбаатар дүүрэг
Улаанбаатар хот, Хан-Уул дүүрэг
Улаанбаатар хот, Чингэлтэй дүүрэг
Архангай аймаг, Цэцэрлэг хот
Архангай аймаг, Батцэнгэл сум
Архангай аймаг, Булган сум
Архангай аймаг, Жаргалант сум
Архангай аймаг, Ихтамир сум
Архангай аймаг, Өгийнуур сум
Архангай аймаг, Өлзийт сум
Архангай аймаг, Өндөр-Улаан сум
Архангай аймаг, Тариат сум
Архангай аймаг, Төвшрүүлэх сум
Архангай аймаг, Хайрхан сум
Архангай аймаг, Хангай сум
Архангай аймаг, Хашаат сум
Архангай аймаг, Хотонт сум
Архангай аймаг, Цахир сум
Архангай аймаг, Цэнхэр сум
Архангай аймаг, Цэцэрлэг сум
Архангай аймаг, Чулуут сум
Архангай аймаг, Эрдэнэбулган сум
Архангай аймаг, Эрдэнэмандал сум
Баян-Өлгий аймаг, Өлгий хот
Баян-Өлгий аймаг, Алтай сум
Баян-Өлгий аймаг, Алтанцөгц сум
Баян-Өлгий аймаг, Баяннуур сум
Баян-Өлгий аймаг, Бугат сум
Баян-Өлгий аймаг, Булган сум
Баян-Өлгий аймаг, Буянт сум
Баян-Өлгий аймаг, Дэлүүн сум
Баян-Өлгий аймаг, Ногооннуур сум
Баян-Өлгий аймаг, Сагсай сум
Баян-Өлгий аймаг, Толбо сум
Баян-Өлгий аймаг, Улаанхус сум
Баян-Өлгий аймаг, Цагааннуур сум
Баян-Өлгий аймаг, Цэнгэл сум
Баянхонгор аймаг, Баянхонгор хот
Баянхонгор аймаг, Баацагаан сум
Баянхонгор аймаг, Баянбулаг сум
Баянхонгор аймаг, Баянговь сум
Баянхонгор аймаг, Баянлиг сум
Баянхонгор аймаг, Баян-Овоо сум
Баянхонгор аймаг, Баян-Өндөр сум
Баянхонгор аймаг, Баянхонгор сум
Баянхонгор аймаг, Баянцагаан сум
Баянхонгор аймаг, Богд сум
Баянхонгор аймаг, Бөмбөгөр сум
Баянхонгор аймаг, Бууцагаан сум
Баянхонгор аймаг, Галуут сум
Баянхонгор аймаг, Гурванбулаг сум
Баянхонгор аймаг, Жаргалант сум
Баянхонгор аймаг, Жинст сум
Баянхонгор аймаг, Заг сум
Баянхонгор аймаг, Өлзийт сум
Баянхонгор аймаг, Хүрээмарал сум
Баянхонгор аймаг, Шинэжинст сум
Баянхонгор аймаг, Эрдэнэцогт сум
Булган аймаг, Булган хот
Булган аймаг, Баян-Агт сум
Булган аймаг, Баяннуур сум
Булган аймаг, Бугат сум
Булган аймаг, Бүрэгхангай сум
Булган аймаг, Гурванбулаг сум
Булган аймаг, Дашинчилэн сум
Булган аймаг, Могод сум
Булган аймаг, Орхон сум
Булган аймаг, Рашаант сум
Булган аймаг, Сайхан сум
Булган аймаг, Сэлэнгэ сум
Булган аймаг, Тэшиг сум
Булган аймаг, Хангал сум
Булган аймаг, Хишиг-Өндөр сум
Булган аймаг, Хутаг-Өндөр сум
Говь-Алтай, Алтай хот
Говь-Алтай, Алтай сум
Говь-Алтай, Баян-Уул сум
Говь-Алтай, Бигэр сум
Говь-Алтай, Бугат сум
Говь-Алтай, Дарви сум
Говь-Алтай, Дэлгэр сум
Говь-Алтай, Жаргалан сум
Говь-Алтай, Есөнбулаг сум
Говь-Алтай, Тайшир сум
Говь-Алтай, Тонхил сум
Говь-Алтай, Төгрөг сум
Говь-Алтай, Халиун сум
Говь-Алтай, Хөхморьт сум
Говь-Алтай, Цогт сум
Говь-Алтай, Цээл сум
Говь-Алтай, Чандмань сум
Говь-Алтай, Шарга сум
Говь-Алтай, Эрдэнэ сум
Говьсүмбэр аймаг, Чойр хот
Говьсүмбэр аймаг, Сүмбэр сум
Говьсүмбэр аймаг, Баянтал сум
Говьсүмбэр аймаг, Шивээговь сум
Дархан-Уул аймаг, Дархан хот
Дархан-Уул аймаг, Дархан сум
Дархан-Уул аймаг, Орхон сум
Дархан-Уул аймаг, Хонгор сум
Дархан-Уул аймаг, Шарын гол сум
Дорноговь аймаг, Сайншанд хот
Дорноговь аймаг, Айраг сум
Дорноговь аймаг, Алтанширээ сум
Дорноговь аймаг, Даланжаргалан сум
Дорноговь аймаг, Дэлгэрэх сум
Дорноговь аймаг, Замын-Үүд сум
Дорноговь аймаг, Иххэт сум
Дорноговь аймаг, Мандах сум
Дорноговь аймаг, Өргөн сум
Дорноговь аймаг, Сайхандулаан сум
Дорноговь аймаг, Улаанбадрах сум
Дорноговь аймаг, Хатанбулаг сум
Дорноговь аймаг, Хөвсгөл сум
Дорноговь аймаг, Эрдэнэ сум
Дорнод аймаг, Чойбалсан хот
Дорнод аймаг, Баяндун сум
Дорнод аймаг, Баянтүмэн сум
Дорнод аймаг, Баян-Уул сум
Дорнод аймаг, Булган сум
Дорнод аймаг, Гурванзагал сум
Дорнод аймаг, Дашбалбар сум
Дорнод аймаг, Матад сум
Дорнод аймаг, Сэргэлэн сум
Дорнод аймаг, Халхгол сум
Дорнод аймаг, Хөлөнбуйр сум
Дорнод аймаг, Хэрлэн сум
Дорнод аймаг, Цагаан-Овоо сум
Дорнод аймаг, Чойбалсан сум
Дорнод аймаг, Чулуунхороот сум
Дундговь аймаг, Мандалговь хот
Дундговь аймаг, Адаацаг сум
Дундговь аймаг, Баянжаргалан сум
Дундговь аймаг, Говь-Угтаал сум
Дундговь аймаг, Гурвансайхан сум
Дундговь аймаг, Дэлгэрхангай сум
Дундговь аймаг, Дэлгэрцогт сум
Дундговь аймаг, Дэрэн сум
Дундговь аймаг, Луус сум
Дундговь аймаг, Өлзийт сум
Дундговь аймаг, Өндөршил сум
Дундговь аймаг, Сайнцагаан сум
Дундговь аймаг, Сайхан-Овоо сум
Дундговь аймаг, Хулд сум
Дундговь аймаг, Цагаандэлгэр сум
Дундговь аймаг, Эрдэнэдалай сум
Завхан аймаг, Улиастай хот
Завхан аймаг, Алдархаан сум
Завхан аймаг, Асгат сум
Завхан аймаг, Баянтэс сум
Завхан аймаг, Баянхайрхан сум
Завхан аймаг, Дөрвөлжин сум
Завхан аймаг, Завханмандал сум
Завхан аймаг, Идэр сум
Завхан аймаг, Их-Уул сум
Завхан аймаг, Нөмрөг сум
Завхан аймаг, Отгон сум
Завхан аймаг, Сантмаргаз сум
Завхан аймаг, Сонгино сум
Завхан аймаг, Тосонцэнгэл сум
Завхан аймаг, Түдэвтэй сум
Завхан аймаг, Тэлмэн сум
Завхан аймаг, Тэс сум
Завхан аймаг, Ургамал сум
Завхан аймаг, Цагаанхайрхан сум
Завхан аймаг, Цагаанчулуут сум
Завхан аймаг, Цэцэн-Уул сум
Завхан аймаг, Шилүүстэй сум
Завхан аймаг, Эрдэнэхайрхан сум
Завхан аймаг, Яруу сум
Орхон аймаг, Эрдэнэт хот
Орхон аймаг, Баян-Өндөр сум
Орхон аймаг, Жаргалант сум
Өвөрхангай аймаг, Арвайхээр хот
Өвөрхангай аймаг, Баруунбаян-Улаан сум
Өвөрхангай аймаг, Бат-Өлзий сум
Өвөрхангай аймаг, Баянгол сум
Өвөрхангай аймаг, Баян-Өндөр сум
Өвөрхангай аймаг, Богд сум
Өвөрхангай аймаг, Бүрд сум
Өвөрхангай аймаг, Гучин-Ус сум
Өвөрхангай аймаг, Есөнзүйл сум
Өвөрхангай аймаг, Зүүнбаян-Улаан сум
Өвөрхангай аймаг, Нарийнтээл сум
Өвөрхангай аймаг, Өлзийт сум
Өвөрхангай аймаг, Сант сум
Өвөрхангай аймаг, Тарагт сум
Өвөрхангай аймаг, Төгрөг сум
Өвөрхангай аймаг, Уянга сум
Өвөрхангай аймаг, Хайрхандулаан сум
Өвөрхангай аймаг, Хархорин сум
Өвөрхангай аймаг, Хужирт сум
Өмнөговь аймаг, Даланзадгад хот
Өмнөговь аймаг, Баяндалай сум
Өмнөговь аймаг, Баян-Овоо сум
Өмнөговь аймаг, Булган сум
Өмнөговь аймаг, Гурвантэс сум
Өмнөговь аймаг, Мандал-Овоо сум
Өмнөговь аймаг, Манлай сум
Өмнөговь аймаг, Ноён сум
Өмнөговь аймаг, Номгон сум
Өмнөговь аймаг, Сэврэй сум
Өмнөговь аймаг, Ханбогд сум
Өмнөговь аймаг, Ханхонгор сум
Өмнөговь аймаг, Хүрмэн сум
Өмнөговь аймаг, Цогт-Овоо сум
Өмнөговь аймаг, Цогтцэций сум
Сүхбаатар аймаг, Баруун-Урт хот
Сүхбаатар аймаг, Асгат сум
Сүхбаатар аймаг, Баяндэлгэр сум
Сүхбаатар аймаг, Дарьганга сум
Сүхбаатар аймаг, Мөнххаан сум
Сүхбаатар аймаг, Наран сум
Сүхбаатар аймаг, Онгон сум
Сүхбаатар аймаг, Сүхбаатар сум
Сүхбаатар аймаг, Түвшинширээ сум
Сүхбаатар аймаг, Түмэнцогт сум
Сүхбаатар аймаг, Уулбаян сум
Сүхбаатар аймаг, Халзан сум
Сүхбаатар аймаг, Эрдэнэцагаан сум
Сэлэнгэ аймаг, Сүхбаатар хот
Сэлэнгэ аймаг, Алтанбулаг сум
Сэлэнгэ аймаг, Баруунбүрэн сум
Сэлэнгэ аймаг, Баянгол сум
Сэлэнгэ аймаг, Ерөө сум
Сэлэнгэ аймаг, Жавхлант сум
Сэлэнгэ аймаг, Зүүнбүрэн сум
Сэлэнгэ аймаг, Мандал сум
Сэлэнгэ аймаг, Орхон сум
Сэлэнгэ аймаг, Орхонтуул сум
Сэлэнгэ аймаг, Сайхан сум
Сэлэнгэ аймаг, Сант сум
Сэлэнгэ аймаг, Түшиг сум
Сэлэнгэ аймаг, Хушаат сум
Сэлэнгэ аймаг, Хүдэр сум
Сэлэнгэ аймаг, Цагааннуур сум
Сэлэнгэ аймаг, Шаамар сум
Төв аймаг, Зуунмод хот
Төв аймаг, Алтанбулаг сум
Төв аймаг, Аргалант сум
