МҮОХ|Монголын Үндэсний Олимпийн Хороо
БНАСАУ|Бүгд Найрамдах Ардчилсан Солонгос Ард Улс
ҮОХ|Үндэсний Олимпийн Хороо
УИХ|Улсын Их Хурал
БНСУ|Бүгд Найрамдах Солонгос Улс
ХЗДХ|Хууль Зүй Дотоод Хэрэг
НИТХ|Нийслэлийн Иргэдийн Төлөөлөгчдийн Хурал
АНУ|Америкийн Нэгдсэн Улс
МАХН|Монгол Ардын Хувьсгалт Нам
ЗЦА|Замын цагдаагийн алба
ААН|аж ахуйн нэгж
ОУВС|Олон Улсын Валютын Сан
БХАТИХ|Бүх Хятадын Ардын Төлөөлөгчдийн Их Хурал
МХҮХ|Монголын Хараагүйчүүдийн Үндэсний Холбоо
НҮБ|Нэгдсэн Үндэстний Байгууллага
МСНЭ|Монголын сэтгүүлчдийн нэгдсэн эвлэл
УЗ|удирдах зөвлөл
МАН|Монгол Ардын Нам
ГИХГ|Гадаадын иргэн, харьяатын газар
ИТХ|Иргэдийн Төлөөлөгчдийн Хурал
ОУОХ|Олон Улсын Олимпийн Хороо
ҮШБ|Үндэсний шигшээ баг
БТСГ|Биеийн Тамир Спортын Газар
БСШУС|Боловсрол Соёл Шинжлэх Ухаан Спорт
ОХУ|Оросын Холбооны Улс
СХД|Сонгинохайрхан дүүрэг
ХУД|Хан-Уул дүүрэг
ХМЗ|Хэвлэл мэдээллийн зөвлөл,
АН|Ардчилсан Нам
НӨАТ|нэмэгдсэн өртгийн албан татвар
ТЭЗҮ|техник эдийн засгийн үндэслэл
ДНБ|Дотоодын Нийт Бүтээгдэхүүн
ОНХГ|Олон нийттэй харилцах газар
БНХАУ|Бүгд Найрамдах Хятад Ард Улс
БЗД|Баянзүрх дүүрэг
БГД|Баянгол дүүрэг
СБД|Сүхбаатар дүүрэг
ЧД|Чингэлтэй дүүрэг
АТГ|Авлигатай тэмцэх газар
ОНЗ|Олон нийтийн зөвлөл
ФАТФ|Олон улсын санхүүгийн гэмт хэрэгтэй тэмцэх байгууллага
ТББ|төрийн бус байгууллага
ЦУОШГ|Цаг уур, орчны шинжилгээний газар
МИАТ|Монголын Иргэний Агаарын Тээвэр
ЖДҮ|жижиг дунд үйлдвэр
БОАЖ|Байгаль Орчин Аялал Жуулчлал
БНМАУ|Бүгд Найрамдах Монгол Ард Улс
ЗГХЭГ|Засгийн Газрын Хэрэг Эрхлэх Газар
УБҮ|уулын баяжуулах үйлдвэр
СӨБ|сургуулийн өмнөх боловсрол
ХХОАТ|хувь хүний орлогын албан татвар
ОУХМ|Олон улсын хэмжээний мастер
МУИС|Монгол Улсын Их Сургууль
УБТЗ|Улаанбаатар төмөр зам
ТУЗ|Төлөөлөн Удирдах Зөвлөл
ХМХ|хэвлэл мэдээллийн хэрэгсэл
ДЭМБ|Дэлхийн эрүүл мэндийн байгууллага
ШУТБГ|Шинжлэх ухаан, технологийн бодлогын газар
ШУА|Шинжлэх ухааны академи
ШУТС|Шинжлэх ухаан технологийн сан
ӨМӨЗО|Өвөр Монголын Өөртөө Засах Орон
МЗЭ|Монголын Зохиолчдын Эвлэл
ХНХ|Хөдөлмөр нийгмийн хамгаалал
БОХХАА|Байгаль орчин, хүнс, хөдөө аж ахуй
НББСШУ|Нийгмийн бодлого, боловсрол, соёл, шинжлэх ухаан
ХСИС|Хууль сахиулахын их сургууль
ХБНГУ|Холбооны Бүгд Найрамдах Герман Улс
НҮНТ|Нийслэлийн Үйлчилгээний нэгдсэн төв
ЗДТГ|Засаг даргын Тамгын газар
ХСҮТ|Хавдар судлалын үндэсний төв
ДЭЗЧ|Дэлхийн Эдийн Засгийн Чуулга
ТАЗ|Төрийн албаны зөвлөл
ГХ|Гадаад Харилцаа
АШУҮИС|Анагаахын Шинжлэх Ухааны Үндэсний Их Сургууль
АЖ|Ардын жүжигчин
НЗДТГ|Нийслэлийн Засаг даргын Тамгын газар
ДЦС|Дулааны цахилгаан станц
ТӨХК|төрийн өмчит хувьцаат компани
ИБУИНВУ|Их Британи Умард Ирландын Нэгдсэн Вант Улс
БНТУ|Бүгд Найрамдах Турк улс
АХБ|Азийн Хөгжлийн Банк
ЭЗХХАС|Эдийн засгийн хөгжлийн хамтын ажиллагааны сан
ШӨХТГ|Шударга Өрсөлдөөн Хэрэглэгчийн Төлөө Газар
НЗД|Нийслэлийн Засаг дарга
НЭМҮТ|Нийгмийн эрүүл мэндийн үндэсний төв
ХАА|Хөдөө аж ахуй
МОӨХХ|Монголын оюуны өмчийг хамгаалах холбоо
МКДБХХ|Монгол кино, дэлгэцийн бүтээлийг хамгаалах холбоо
УГЗ|Урлагийн гавьяат зүтгэлтэн
ГҮТББ|гишүүддээ үйлчлэх төрийн бус байгууллага
МҮХАҮТ|Монголын Үндэсний Худалдаа Аж Үйлдвэрийн Танхим
БНКаУ|Бүгд Найрамдах Казахстан Улс
СЭМҮТ|Сэтгэцийн эрүүл мэндийн үндэсний төв
УУХҮ|Уул уурхай, хүнд үйлдвэр
ДЭЗЧУ|Дорнын эдийн засгийн чуулга уулзалт
ДЭЗЧУБ|Дэлхийн эдийн засгийн чуулга уулзалтын байгууллага
ЗТХ|Зам Тээвэр Хөгжил
ТНБД|Төрийн нарийн бичгийн дарга
ГХУСАЗС|Гэмт хэргээс урьдчилан сэргийлэх ажлыг зохицуулах салбар
ГХУСАЗСЗ|Гэмт хэргээс урьдчилан сэргийлэх ажлыг зохицуулах салбар зөвлөл
СӨХ|Сууц өмчлөгчдийн холбоо
ҮХ|үйлдвэрчний хороо
БХБ|Барилга, Хот Байгуулалт
БНЭУ|Бүгд Найрамдах Энэтхэг Улс
ЭМТ|Эрүүл мэндийн төв
ЭМ|эрүүл мэнд
ХАҮТ|худалдаа аж үйлдвэрийн танхим
БСШУ|Боловсрол Соёл Шинжлэх Ухаан
МХМЗ|Монголын Хэвлэл Мэдээллийн Зөвлөл
ББСБ|Банк бус санхүүгийн байгууллага
ТХСК|тамхины хяналтын суурь конвенци
НМХГ|Нийслэлийн мэргэжлийн хяналтын газар
ЭМБСХХ|Эрүүл мэнд, боловсрол, соёлын хяналтын хэлтэс
ЭИХХЦХХ|Экспорт, импорт, хилийн хорио цээрийн хяналтын хэлтэс
ҮЭХ|Үйлдвэрчний Эвлэлийн Хороо
ЗХУ|Зөвлөлт Холбоот Улс
ШТС|шатахуун түгээх станц
МИС|Механик инженерчлэлийн сургууль
ЭСХЗ|Энэтхэгийн Соёлын Харилцааны Зөвлөл
ШУТИС|Шинжлэх Ухаан Технологийн Их Сургууль
МУБИС|Монгол Улсын Боловсролын Их Сургууль
МҮОНТВ|Монголын Үндэсний Олон Нийтийн Телевиз
ШХА|Швейцарийн хөгжлийн агентлаг
НҮБХХ|Нэгдсэн Үндэстний Байгууллагын Хөгжлийн хөтөлбөр
ОУСС|Олон Улсын Сансрын Станц
ЭТТ|Эрдэнэс-Таван Толгой
НЦГ|Нийслэлийн цагдаагийн газар
ЭХХШТХ|Эрүүгийн хэрэг хянан шийдвэрлэх тухай хууль
ЭХ|Эрүүгийн хууль
ҮАБЗ|Үндэсний аюулгүй байдлын зөвлөл
ТӨҮГ|Төрийн өмчит үйлдвэрийн газар
РМ|тоосонцор
МҮЭХ|Монголын Үйлдвэрчний Эвлэлийн Холбоо
ҮЭ|Үйлдвэрчний эвлэл
БНЧУ|Бүгд Найрамдах Чех Улс
МХЗЭ|Монголын хувьсгалт залуучуудын эвлэл
ХНН|хувь нийлүүлсэн нийгэмлэг
МТЗ|Монголын төмөр зам
НЗТ|Нээлттэй засгийн түншлэл
ХОМ|хөрөнгө орлогын мэдүүлэг
УҮГ|улсын үйлдвэрийн газар
ИНХ|Иргэдийн нийтийн хурал
ХМОНХХ|Хэвлэл мэдээлэл, олон нийттэй харилцах хэлтэс
ЗГХА|Засгийн газрын хэрэгжүүлэгч агентлаг
МУГД|Монгол Улсын Гавьяат Дасгалжуулагч
БТ|Биеийн тамир
ХААИС|Хөдөө Аж Ахуйн Их Сургууль
АЭС|Агроэкологийн сургууль
УЦС|усан цахилгаан станц
ООГХ|Одон Орон, Геофизикийн Хүрээлэн
МХЭАХН|Монголын хэрэглэгчдийн эрх ашгийг хамгаалах нийгэмлэгүүд
ДМАЭМБ|Дэлхийн мал амьтны эрүүл мэндийн байгууллага
ҮБХИС|Үндэсний Батлан Хамгаалахын Их Сургууль
МУ|Монгол Улс
АТҮТ|Автотээврийн үндэсний төв
АТБЗГ|Авто тээврийн бодлогын хэрэгжилтийг зохицуулах газар
ААНБ|Аж ахуй нэгж байгууллага
ОУ|олон улс
ДАШТ|Дэлхийн аварга шалгаруулах тэмцээн
ЗТЭ|Зээлжих тусгай эрх
МоАХ|Монголын Ардчилсан Холбоо
ЖШУХ|Жижүүрийн шуурхай удирдлагын хэлтэс
УНТЭ|Улсын нэгдүгээр төв эмнэлэ
УГТЭ|Улсын Гуравдугаар төв эмнэлэг
ГССҮТ|Гэмтэл согог судлалын үндэсний төв
ЗӨСҮТ|Зоонозын өвчин судлалын үндэсний төв
ЭСҮТ|Эмгэг судлалын үндэсний төв
ТДГД|тусгай дуут болон гэрлэн дохио
ЗХАБТХ|Замын хөдөлгөөний аюулгүй байдлын тухай хууль
ДОХ|дархлалын олдмол хомсдол
МУЗН|Монголын улаан загалмайн нийгэмлэг
УАБЗ|Үндэсний аюулгүй байдлын зөвлөл
НОСК|Нийслэлийн орон сууцны корпораци
ОНӨААТҮГ|Орон нутгийн өмчит аж ахуйн тооцоот үйлдвэрийн газар
ХМК|Ханын материалын комбинат
ДХБ|Дэлхийн худалдааны байгууллага
ГАТТ|Тариф худалдааны ерөнхий хэлэлцээр
ДГХО|Далайд гарцгүй хөгжиж буй орнууд
УАШТ|Улсын аварга шалгаруулах тэмцээн
ОУБ|олон улсын байгууллага
ТЗУГ|Төрийн захиргааны удирдлагын газар
ТОСК|Төрийн орон сууцны корпораци
ҮСХ|Үндэсний статистикийн хороо
ЗГ|Засгийн Газар
ЮНИДО|Нэгдсэн Үндэстний байгууллагын үйлдвэр хөгжлийн байгууллага
БНУУ|Бүгд Найрамдах Унгар Улс
ШХАБ|Шанхайн хамтын ажиллагааны байгууллага
ЗГХК|Засгийн газар хоорондын комисс
УИД|Улсын их дэлгүүр
ЗЦГ|Замын цагдаагийн газар
