word, frequency
нь, 0.014768
байна, 0.008926
юм, 0.006338
энэ, 0.006264
байгаа, 0.005820
ч, 0.005173
гэж, 0.004924
л, 0.003456
улсын, 0.003316
байсан, 0.003292
бол, 0.003027
нэг, 0.002892
их, 0.002880
монгол, 0.002768
олон, 0.002696
болон, 0.002626
хүн, 0.002284
гэсэн, 0.002161
засгийн, 0.002127
байх, 0.002012
тэр, 0.001990
тухай, 0.001893
мөн, 0.001809
оны, 0.001772
хоёр, 0.001762
улс, 0.001739
би, 0.001720
дээр, 0.001714
төрийн, 0.001702
газар, 0.001621
сарын, 0.001614
байдаг, 0.001568
болсон, 0.001548
тус, 0.001531
аж, 0.001484
болно, 0.001484
дарга, 0.001474
харин, 0.001445
ямар, 0.001416
болж, 0.001382
та, 0.001360
буй, 0.001353
бид, 0.001350
онд, 0.001349
газрын, 0.001322
бөгөөд, 0.001321
хууль, 0.001301
болох, 0.001293
талаар, 0.001285
үйл, 0.001279
манай, 0.001258
гэдэг, 0.001247
эдийн, 0.001207
хуулийн, 0.001179
уу, 0.001134
эрх, 0.001133
хамгийн, 0.001127
орон, 0.001114
сайн, 0.001102
үед, 0.001092
сайд, 0.001088
авч, 0.001085
жилийн, 0.001060
жил, 0.001030
монголын, 0.001029
өдөр, 0.001025
хийж, 0.001017
албан, 0.001016
ерөнхий, 0.001013
хувьд, 0.000991
цаг, 0.000986
хүний, 0.000976
дээ, 0.000976
вэ, 0.000970
ажил, 0.000965
бий, 0.000962
биш, 0.000961
ёстой, 0.000950
хувь, 0.000946
дараа, 0.000941
зохион, 0.000934
өмнө, 0.000934
сая, 0.000928
гээд, 0.000926
арга, 0.000925
хэмээн, 0.000924
нар, 0.000912
санал, 0.000891
хэрэгтэй, 0.000882
зэрэг, 0.000882
нэр, 0.000882
бусад, 0.000870
юу, 0.000865
ажлын, 0.000864
ажиллаж, 0.000863
эх, 0.000861
буюу, 0.000859
шинэ, 0.000859
уихын, 0.000847
байж, 0.000847
ийм, 0.000834
одоо, 0.000829
зарим, 0.000829
асуудал, 0.000829
үр, 0.000828
гэх, 0.000827
шиг, 0.000826
бүх, 0.000821
шүү, 0.000808
нийслэлийн, 0.000799
гишүүн, 0.000794
хөрөнгө, 0.000777
билээ, 0.000776
түүний, 0.000776
уг, 0.000774
авах, 0.000767
зүйл, 0.000766
эрүүл, 0.000761
дугаар, 0.000752
хэрэг, 0.000749
нэгэн, 0.000747
хүмүүс, 0.000744
аймгийн, 0.000740
нийт, 0.000740
засаг, 0.000729
маш, 0.000726
үг, 0.000725
байлаа, 0.000724
дахь, 0.000720
бас, 0.000719
хийх, 0.000718
нутгийн, 0.000714
дэлхийн, 0.000713
градус, 0.000710
гэдгийг, 0.000709
өнгөрсөн, 0.000708
мэдээлэл, 0.000707
гэхдээ, 0.000694
үндэсний, 0.000684
хүртэл, 0.000682
бүр, 0.000680
том, 0.000680
ирсэн, 0.000680
ард, 0.000678
гэр, 0.000665
өнөөдөр, 0.000664
бага, 0.000663
гаруй, 0.000658
өөр, 0.000658
өөрийн, 0.000650
миний, 0.000649
бус, 0.000640
асуудлыг, 0.000638
өндөр, 0.000637
дагуу, 0.000635
энэхүү, 0.000634
гол, 0.000629
удаа, 0.000626
дахин, 0.000617
гурван, 0.000615
тиймээс, 0.000615
авсан, 0.000612
тийм, 0.000612
хотын, 0.000611
төв, 0.000610
гарч, 0.000610
үндсэн, 0.000604
хугацаанд, 0.000602
тэрбум, 0.000598
хэдэн, 0.000598
илүү, 0.000597
нутгаар, 0.000593
хөгжлийн, 0.000593
тухайн, 0.000593
байдал, 0.000586
орж, 0.000586
учир, 0.000583
хийсэн, 0.000582
үү, 0.000582
сайхан, 0.000580
чинь, 0.000580
учраас, 0.000578
хүүхэд, 0.000577
мянган, 0.000575
хэн, 0.000572
байв, 0.000569
тодорхой, 0.000560
зам, 0.000554
улсад, 0.000547
тэд, 0.000546
ажиллагаа, 0.000546
р, 0.000544
иргэд, 0.000543
баруун, 0.000541
холбоотой, 0.000540
нийгмийн, 0.000538
хүрээнд, 0.000538
бүхий, 0.000536
гэтэл, 0.000535
бүрэн, 0.000534
нд, 0.000533
хүнд, 0.000532
намын, 0.000530
зүйн, 0.000527
дунд, 0.000526
тул, 0.000525
тулд, 0.000521
байгааг, 0.000519
улаанбаатар, 0.000516
руу, 0.000512
өдөртөө, 0.000512
байхгүй, 0.000511
чухал, 0.000509
ны, 0.000509
түүнийг, 0.000508
бие, 0.000506
ерөнхийлөгч, 0.000506
хэм, 0.000504
төсөл, 0.000498
ба, 0.000498
үеэр, 0.000496
хувийн, 0.000495
мөнгө, 0.000492
хамтран, 0.000492
хойш, 0.000491
ирэх, 0.000484
маань, 0.000483
хорооны, 0.000482
мэт, 0.000482
байр, 0.000481
ахуйн, 0.000481
хурлын, 0.000475
дээд, 0.000475
ажиллах, 0.000474
дэд, 0.000473
гадаад, 0.000472
иргэдийн, 0.000472
минь, 0.000471
шөнөдөө, 0.000471
сэтгэл, 0.000469
гадна, 0.000466
төлөө, 0.000465
дүүргийн, 0.000462
хүлээн, 0.000459
гаргасан, 0.000458
боломжтой, 0.000456
хэмжээ, 0.000456
төр, 0.000456
замын, 0.000453
гаргаж, 0.000453
